f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
4, 0.85, 1.01841329e-07, 0.037489557630, -3.41152067e-01, 1.50597385e-01 
4, 0.86, 1.00304560e-07, 0.038376853735, -3.60992680e-01, 1.38603795e-01 
4, 0.87, 1.00304560e-07, 0.039274527571, -4.09748859e-01, 9.07452892e-02 
4, 0.88, 1.00000000e-07, 0.040182579140, -3.56040083e-01, 1.46766806e-01 
4, 0.89, 1.00916465e-07, 0.041101008441, -3.76986700e-01, 1.22537334e-01 
4, 0.90, 1.00000000e-07, 0.042029815475, -4.03975327e-01, 1.00678799e-01 
4, 0.91, 1.00610047e-07, 0.042969000240, -3.73873986e-01, 1.28914211e-01 
4, 0.92, 1.00610047e-07, 0.043918562738, -4.42836198e-01, 6.09015617e-02 
4, 0.93, 1.00304560e-07, 0.044878502968, -3.95156205e-01, 1.10941919e-01 
4, 0.94, 1.00916465e-07, 0.045848820930, -4.27281604e-01, 7.69902423e-02 
4, 0.95, 1.00000000e-07, 0.046829516624, -4.70356579e-01, 3.90972475e-02 
4, 0.96, -9.99999900e-01, 0.047820590051, -4.78206241e-02, 1.00000000e-09 
4, 0.97, -9.99999900e-01, 0.048822041210, -4.88220752e-02, 1.00000000e-09 
4, 0.98, -9.99999900e-01, 0.049833870101, -4.98339041e-02, 1.00000000e-09 
4, 0.99, -9.99999900e-01, 0.050856076724, -5.08561107e-02, 1.00000000e-09 
4, 1.00, -9.99999900e-01, 0.051888661080, -5.18886951e-02, 1.00000000e-09 
