f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
6, 0.85, 1.46442833e-04, 0.023654311728, 1.15265020e-01 
6, 0.86, 1.91937873e-04, 0.024214157722, 1.15135832e-01 
6, 0.87, 9.06207708e-05, 0.024780551622, 1.14137452e-01 
6, 0.88, 9.37397654e-05, 0.025353493429, 1.12390610e-01 
6, 0.89, 1.18624129e-04, 0.025932983142, 1.09486406e-01 
6, 0.90, 1.18624129e-04, 0.026519020761, 1.04771680e-01 
6, 0.91, 4.53103854e-05, 0.027111606286, 9.75646196e-02 
6, 0.92, 7.33137436e-05, 0.027710739718, 8.78972634e-02 
6, 0.93, 5.17803647e-05, 0.028316421057, 7.33755593e-02 
6, 0.94, 2.80033582e-05, 0.028928650302, 5.21561056e-02 
6, 0.95, 2.80033582e-05, 0.029547427453, 2.35089605e-02 
6, 0.96, 6.80853967e-05, 0.030172752510, -1.21704429e-02 
6, 0.97, 5.41417234e-02, 0.030804625474, -3.08056244e-02 
6, 0.98, 5.80095085e-02, 0.031443046344, -3.14440663e-02 
6, 0.99, 6.18033989e-02, 0.032088015121, -3.20889720e-02 
6, 1.00, 4.99511436e-02, 0.032739531803, -3.27406309e-02 
