f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
45, 0.60, 1.34502774e-03, 0.005907145735, 3.25504838e-02 
45, 0.61, 1.31557667e-03, 0.006105690223, 3.35543999e-02 
45, 0.62, 9.21518489e-04, 0.006307516438, 3.45753280e-02 
45, 0.63, 1.15824681e-03, 0.006512624380, 3.55938831e-02 
45, 0.64, 1.31416785e-03, 0.006721014050, 3.66067251e-02 
45, 0.65, 8.69736560e-04, 0.006932685446, 3.76333824e-02 
45, 0.66, 7.86842482e-04, 0.007147638569, 3.86542522e-02 
45, 0.67, 6.83741416e-04, 0.007365873420, 3.96712783e-02 
45, 0.68, 5.55181446e-04, 0.007587389997, 4.06780369e-02 
45, 0.69, 5.76884303e-04, 0.007812188302, 4.16978441e-02 
45, 0.70, 8.63863164e-04, 0.008040268334, 4.26543057e-02 
45, 0.71, 7.71920016e-04, 0.008271630092, 4.36259883e-02 
45, 0.72, 4.98414239e-04, 0.008506273578, 4.45697488e-02 
45, 0.73, 5.02499874e-04, 0.008744198791, 4.54772059e-02 
45, 0.74, 5.80475398e-04, 0.008985405731, 4.63477438e-02 
45, 0.75, 5.02009845e-04, 0.009229894398, 4.71689529e-02 
45, 0.76, 4.86069932e-04, 0.009477664793, 4.79398326e-02 
45, 0.77, 3.79790110e-04, 0.009728716914, 4.86409770e-02 
45, 0.78, 5.02499874e-04, 0.009983050762, 4.92397569e-02 
45, 0.79, 3.10562002e-04, 0.010240666337, 4.97513118e-02 
45, 0.80, 3.32583178e-04, 0.010501563640, 5.01431985e-02 
45, 0.81, 4.12539837e-04, 0.010765742669, 5.03584446e-02 
45, 0.82, 3.33110576e-04, 0.011033203426, 5.03842559e-02 
45, 0.83, 3.35588177e-04, 0.011303945910, 5.02373000e-02 
