f, N, nu 
1.16, 5.00, 0.03 
D, pK, a-1, leakEC, SKR 
1, 0.30, 1.00000000e-06, 0.011572500549, 6.35755297e+11 
1, 0.35, 5.25001500e-01, 0.015617847969, 5.44410194e-02 
1, 0.40, 5.25001500e-01, 0.020285556531, 7.98989529e-02 
1, 0.45, 5.25001500e-01, 0.025575626235, 1.09160551e-01 
1, 0.50, 5.25001500e-01, 0.031488057080, 1.49074241e-01 
1, 0.55, 1.31250225e+00, 0.038022849067, 1.87208922e-01 
1, 0.60, 5.96778912e-01, 0.045180002196, 2.32599449e-01 
1, 0.65, 5.49610898e-01, 0.052959516466, 2.80738889e-01 
1, 0.70, 7.87501750e-01, 0.061361391878, 3.23576830e-01 
1, 0.75, 6.72657891e-01, 0.070385628431, 3.76735449e-01 
1, 0.80, 7.87501750e-01, 0.080032226126, 4.33192529e-01 
1, 0.85, 5.25001500e-01, 0.090301184963, 4.90776340e-01 
1, 0.90, 1.70625262e+00, 0.101192504941, 5.56996145e-01 
1, 0.95, 1.14843959e+00, 0.112706186060, 6.30190674e-01 
1, 1.00, 5.25001500e-01, 0.124842228322, 7.19603611e-01 
