f, N, nu 
1.16, 5.00, 0.03 
D, pK, a-1, leakEC, SKR 
30, 0.30, 2.03232715e+00, 0.003316557862, 4.42886126e-02 
30, 0.35, 1.50937744e+00, 0.004380592646, 6.61009965e-02 
30, 0.40, 5.25001500e-01, 0.005608325089, 9.35035958e-02 
30, 0.45, 6.56251625e-01, 0.006999755190, 1.26798523e-01 
30, 0.50, 7.13673555e-01, 0.008554882951, 1.67864848e-01 
30, 0.55, 5.25001500e-01, 0.010273708371, 2.15356252e-01 
30, 0.60, 2.49375337e+00, 0.012156231449, 2.56626156e-01 
30, 0.65, 7.21876687e-01, 0.014202452187, 3.12659014e-01 
30, 0.70, 1.05000200e+00, 0.016412370584, 3.56759308e-01 
30, 0.75, 7.60841568e-01, 0.018785986639, 4.25684079e-01 
30, 0.80, 5.25001500e-01, 0.021323300354, 4.89736303e-01 
30, 0.85, 6.07032828e-01, 0.024024311728, 5.74480430e-01 
30, 0.90, 1.31251125e-01, 0.026889020761, 6.45912515e-01 
30, 0.95, 5.25001500e-01, 0.029917427453, 7.16060637e-01 
30, 1.00, 9.18751875e-01, 0.033109531803, 8.15840030e-01 
