f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
90, 0.60, 2.60189062e-03, 0.000743697930, 2.94052032e-03 
90, 0.61, 6.27670638e-03, 0.000768693200, 2.96394489e-03 
90, 0.62, 2.86263943e-03, 0.000794101615, 3.01391716e-03 
90, 0.63, 2.30986517e-03, 0.000819923175, 3.04433764e-03 
90, 0.64, 2.96922960e-03, 0.000846157880, 3.06044334e-03 
90, 0.65, 2.23336442e-03, 0.000872805730, 3.07101109e-03 
90, 0.66, 2.34919461e-03, 0.000899866725, 3.07285020e-03 
90, 0.67, 2.69844198e-03, 0.000927340865, 3.06289200e-03 
90, 0.68, 2.63102381e-03, 0.000955228150, 3.03878365e-03 
90, 0.69, 2.12862363e-03, 0.000983528579, 3.00380426e-03 
90, 0.70, 2.31589946e-03, 0.001012242154, 2.95175341e-03 
90, 0.71, 2.32057073e-03, 0.001041368874, 2.88251261e-03 
90, 0.72, 1.61177869e-03, 0.001070908739, 2.79733789e-03 
90, 0.73, 1.73394668e-03, 0.001100861748, 2.68754522e-03 
90, 0.74, 1.67287211e-03, 0.001131227903, 2.55432397e-03 
90, 0.75, 1.69536166e-03, 0.001162007203, 2.39497198e-03 
90, 0.76, 1.51598006e-03, 0.001193199647, 2.20631230e-03 
90, 0.77, 1.51319511e-03, 0.001224805237, 1.98787005e-03 
90, 0.78, 1.59045022e-03, 0.001256823971, 1.73434620e-03 
90, 0.79, 1.43418588e-03, 0.001289255851, 1.44411507e-03 
90, 0.80, 1.48658118e-03, 0.001322100875, 1.11455934e-03 
90, 0.81, 1.19521518e-03, 0.001355359044, 7.46314116e-04 
90, 0.82, 1.24448294e-03, 0.001389030359, 3.38821941e-04 
90, 0.83, 1.55279111e-03, 0.001423114818, -1.01055708e-04 
90, 0.84, 1.31630609e-03, 0.001457612422, -5.51814785e-04 
90, 0.85, 1.96598802e-03, 0.001492523171, -9.93644355e-04 
90, 0.86, 2.12862363e-03, 0.001527847066, -1.36770503e-03 
90, 0.87, 6.18033989e-02, 0.001563584105, -1.56328386e-03 
90, 0.88, 7.66011136e-02, 0.001599734289, -1.60048167e-03 
90, 0.89, 8.67474886e-02, 0.001636297618, -1.63694710e-03 
90, 0.90, 8.53468541e-02, 0.001673274092, -1.67398211e-03 
90, 0.91, 8.53810456e-02, 0.001710663711, -1.71133058e-03 
90, 0.92, 7.75054267e-02, 0.001748466475, -1.74925602e-03 
90, 0.93, 6.17349403e-02, 0.001786682384, -1.78754786e-03 
90, 0.94, 7.41361856e-02, 0.001825311437, -1.82608052e-03 
90, 0.95, 7.68957173e-02, 0.001864353636, -1.86512560e-03 
90, 0.96, 9.06450513e-02, 0.001903808980, -1.90444064e-03 
90, 0.97, 7.43933030e-02, 0.001943677469, -1.94446472e-03 
90, 0.98, 9.09830056e-02, 0.001983959102, -1.98460933e-03 
90, 0.99, 6.04878371e-02, 0.002024653881, -2.02561786e-03 
90, 1.00, 8.73676699e-02, 0.002065761805, -2.06635712e-03 
