f, N, nu 
1.16, 11.00, 0.03 
D, pK, a-1, leakEC, SKR 
30, 0.30, 5.13695801e-04, 0.002946558232, 1.10594388e+00 
30, 0.35, 8.98217651e-04, 0.004010593016, 1.13401982e+00 
30, 0.40, 6.09826263e-04, 0.005238325459, 1.14127170e+00 
30, 0.45, 4.17565338e-04, 0.006629755560, 1.13025528e+00 
30, 0.50, 4.65630569e-04, 0.008184883321, 1.10300704e+00 
30, 0.55, 1.29173950e-04, 0.009903708741, 1.06108573e+00 
30, 0.60, 4.35589800e-04, 0.011786231819, 1.00589814e+00 
30, 0.65, 3.21434875e-04, 0.013832452557, 9.38440557e-01 
30, 0.70, 1.77239182e-04, 0.016042370954, 8.59620794e-01 
30, 0.75, 2.25304413e-04, 0.018415987009, 7.70170084e-01 
30, 0.80, 1.35182104e-04, 0.020953300724, 6.70687033e-01 
30, 0.85, 1.29173950e-04, 0.023654312098, 5.61184045e-01 
30, 0.90, 5.70761032e-05, 0.026519021131, 4.40568174e-01 
30, 0.95, 3.75496030e-05, 0.029547427823, 2.95645555e-01 
30, 1.00, 1.57500250e+00, 0.032739532173, -3.27395596e-02 
