f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
50, 0.60, 1.30052478e-03, 0.004692220254, 2.55247172e-02 
50, 0.61, 1.20094423e-03, 0.004849929746, 2.62973530e-02 
50, 0.62, 1.31556175e-03, 0.005010246008, 2.70736031e-02 
50, 0.63, 9.92877502e-04, 0.005173169037, 2.78558683e-02 
50, 0.64, 1.31308499e-03, 0.005338698835, 2.86246998e-02 
50, 0.65, 9.57638705e-04, 0.005506835402, 2.94055025e-02 
50, 0.66, 8.13046962e-04, 0.005677578737, 3.01662921e-02 
50, 0.67, 9.78987250e-04, 0.005850928841, 3.09302340e-02 
50, 0.68, 8.13061876e-04, 0.006026885713, 3.16875679e-02 
50, 0.69, 8.15938834e-04, 0.006205449353, 3.24156650e-02 
50, 0.70, 6.94347222e-04, 0.006386619762, 3.31437254e-02 
50, 0.71, 8.12928252e-04, 0.006570396939, 3.38381079e-02 
50, 0.72, 8.54883513e-04, 0.006756780885, 3.45066964e-02 
50, 0.73, 8.13010714e-04, 0.006945771600, 3.51496589e-02 
50, 0.74, 8.13076789e-04, 0.007137369083, 3.57419246e-02 
50, 0.75, 4.74855408e-04, 0.007331573334, 3.62981572e-02 
50, 0.76, 7.20586245e-04, 0.007528384354, 3.67878579e-02 
50, 0.77, 6.78785732e-04, 0.007727802142, 3.72207163e-02 
50, 0.78, 5.31267542e-04, 0.007929826699, 3.75629191e-02 
50, 0.79, 4.79679374e-04, 0.008134458024, 3.78016511e-02 
50, 0.80, 5.05497960e-04, 0.008341696118, 3.79266393e-02 
50, 0.81, 4.04656722e-04, 0.008551540980, 3.79017396e-02 
50, 0.82, 3.10427688e-04, 0.008763992611, 3.76916813e-02 
50, 0.83, 3.88310297e-04, 0.008979051010, 3.72736947e-02 
50, 0.84, 4.25540551e-04, 0.009196716177, 3.65652195e-02 
50, 0.85, 3.10955501e-04, 0.009416988113, 3.55808453e-02 
50, 0.86, 3.26484186e-04, 0.009639866818, 3.41428628e-02 
50, 0.87, 3.10562002e-04, 0.009865352291, 3.22334219e-02 
50, 0.88, 1.91937873e-04, 0.010093444533, 2.97053327e-02 
50, 0.89, 1.18624129e-04, 0.010324143542, 2.63391030e-02 
50, 0.90, 1.97984639e-04, 0.010557449321, 2.20554854e-02 
50, 0.91, 2.17381901e-04, 0.010793361868, 1.65286311e-02 
50, 0.92, 1.17659641e-04, 0.011031881183, 9.59843456e-03 
50, 0.93, 1.91937873e-04, 0.011273007267, 1.28850431e-03 
50, 0.94, 1.91964187e-04, 0.011516740119, -7.47037320e-03 
50, 0.95, 9.25714716e-02, 0.011763079740, -1.17636691e-02 
50, 0.96, 9.09619017e-02, 0.012012026130, -1.20126410e-02 
50, 0.97, 6.10748897e-02, 0.012263579287, -1.22644833e-02 
50, 0.98, 7.21302683e-02, 0.012517739214, -1.25184826e-02 
50, 0.99, 8.74593934e-02, 0.012774505908, -1.27751872e-02 
50, 1.00, 8.72647599e-02, 0.013033879372, -1.30345004e-02 
