f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
4, 0.85, 1.18624129e-04, 0.037489557630, 1.94583430e-01 
4, 0.86, 1.18639032e-04, 0.038376853735, 1.95979470e-01 
4, 0.87, 1.20198775e-04, 0.039274527571, 1.96699104e-01 
4, 0.88, 8.96120906e-05, 0.040182579140, 1.96276496e-01 
4, 0.89, 9.70311152e-05, 0.041101008441, 1.94578337e-01 
4, 0.90, 6.00468501e-05, 0.042029815475, 1.90941307e-01 
4, 0.91, 4.83208773e-05, 0.042969000240, 1.84388643e-01 
4, 0.92, 4.75069450e-05, 0.043918562738, 1.74379839e-01 
4, 0.93, 4.53103854e-05, 0.044878502968, 1.58739586e-01 
4, 0.94, 1.28024958e-04, 0.045848820930, 1.33169363e-01 
4, 0.95, 4.02158233e-05, 0.046829516624, 9.72127856e-02 
4, 0.96, 2.39177233e-05, 0.047820590051, 4.07349720e-02 
4, 0.97, 4.31718168e-05, 0.048822041210, -3.21891200e-02 
4, 0.98, 6.18033831e-02, 0.049833870101, -4.98347983e-02 
4, 0.99, 3.81944940e-02, 0.050856076724, -5.08575240e-02 
4, 1.00, 4.99511436e-02, 0.051888661080, -5.18897602e-02 
