f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
12, 0.85, -9.99999900e-01, 0.005941694468, -5.94172847e-03, 1.00000000e-09 
12, 0.86, -9.99999900e-01, 0.006082321423, -6.08235542e-03, 1.00000000e-09 
12, 0.87, -9.99999900e-01, 0.006224593138, -6.22462714e-03, 1.00000000e-09 
12, 0.88, -9.99999900e-01, 0.006368509613, -6.36854361e-03, 1.00000000e-09 
12, 0.89, -9.99999900e-01, 0.006514070848, -6.51410485e-03, 1.00000000e-09 
12, 0.90, -9.99999900e-01, 0.006661276843, -6.66131084e-03, 1.00000000e-09 
12, 0.91, -9.99999900e-01, 0.006810127597, -6.81016160e-03, 1.00000000e-09 
12, 0.92, -9.99999900e-01, 0.006960623111, -6.96065711e-03, 1.00000000e-09 
12, 0.93, -9.99999900e-01, 0.007112763384, -7.11279738e-03, 1.00000000e-09 
12, 0.94, -9.99999900e-01, 0.007266548417, -7.26658242e-03, 1.00000000e-09 
12, 0.95, -9.99999900e-01, 0.007421978210, -7.42201221e-03, 1.00000000e-09 
12, 0.96, -9.99999900e-01, 0.007579052763, -7.57908676e-03, 1.00000000e-09 
12, 0.97, -9.99999900e-01, 0.007737772076, -7.73780608e-03, 1.00000000e-09 
12, 0.98, -9.99999900e-01, 0.007898136148, -7.89817015e-03, 1.00000000e-09 
12, 0.99, -9.99999900e-01, 0.008060144980, -8.06017898e-03, 1.00000000e-09 
12, 1.00, -9.99999900e-01, 0.008223798571, -8.22383257e-03, 1.00000000e-09 
