f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
85, 0.60, 2.52523873e-03, 0.000936250642, 4.00058333e-03 
85, 0.61, 2.65999637e-03, 0.000967717823, 4.07084592e-03 
85, 0.62, 2.35251207e-03, 0.000999705122, 4.13720344e-03 
85, 0.63, 2.13272223e-03, 0.001032212540, 4.19478280e-03 
85, 0.64, 2.02146281e-03, 0.001065240077, 4.24519740e-03 
85, 0.65, 2.13453830e-03, 0.001098787733, 4.28706663e-03 
85, 0.66, 1.89964725e-03, 0.001132855507, 4.31535557e-03 
85, 0.67, 2.09488044e-03, 0.001167443400, 4.33542001e-03 
85, 0.68, 2.16535972e-03, 0.001202551411, 4.34142926e-03 
85, 0.69, 2.22013073e-03, 0.001238179542, 4.33089983e-03 
85, 0.70, 2.04401337e-03, 0.001274327791, 4.30414025e-03 
85, 0.71, 1.36087214e-03, 0.001310996158, 4.25887604e-03 
85, 0.72, 1.48887164e-03, 0.001348184645, 4.19250010e-03 
85, 0.73, 1.31556175e-03, 0.001385893250, 4.10044912e-03 
85, 0.74, 1.31556175e-03, 0.001424121973, 3.98264047e-03 
85, 0.75, 1.31556175e-03, 0.001462870816, 3.83608049e-03 
85, 0.76, 1.48549205e-03, 0.001502139777, 3.64777362e-03 
85, 0.77, 1.09715005e-03, 0.001541928857, 3.43051635e-03 
85, 0.78, 1.37490912e-03, 0.001582238055, 3.16137139e-03 
85, 0.79, 1.16744086e-03, 0.001623067372, 2.84853103e-03 
85, 0.80, 1.31580434e-03, 0.001664416808, 2.47928080e-03 
85, 0.81, 1.38817747e-03, 0.001706286363, 2.04940199e-03 
85, 0.82, 1.00226729e-03, 0.001748676036, 1.57154977e-03 
85, 0.83, 1.31556175e-03, 0.001791585828, 1.02035543e-03 
