f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
22, 0.85, -9.99999900e-01, 0.000594169447, -5.94203447e-04, 1.00000000e-09 
22, 0.86, -9.99999900e-01, 0.000608232142, -6.08266142e-04, 1.00000000e-09 
22, 0.87, -9.99999900e-01, 0.000622459314, -6.22493314e-04, 1.00000000e-09 
22, 0.88, -9.99999900e-01, 0.000636850961, -6.36884961e-04, 1.00000000e-09 
22, 0.89, -9.99999900e-01, 0.000651407085, -6.51441085e-04, 1.00000000e-09 
22, 0.90, -9.99999900e-01, 0.000666127684, -6.66161684e-04, 1.00000000e-09 
22, 0.91, -9.99999900e-01, 0.000681012760, -6.81046760e-04, 1.00000000e-09 
22, 0.92, -9.99999900e-01, 0.000696062311, -6.96096311e-04, 1.00000000e-09 
22, 0.93, -9.99999900e-01, 0.000711276338, -7.11310338e-04, 1.00000000e-09 
22, 0.94, -9.99999900e-01, 0.000726654842, -7.26688842e-04, 1.00000000e-09 
22, 0.95, -9.99999900e-01, 0.000742197821, -7.42231821e-04, 1.00000000e-09 
22, 0.96, -9.99999900e-01, 0.000757905276, -7.57939276e-04, 1.00000000e-09 
22, 0.97, -9.99999900e-01, 0.000773777208, -7.73811208e-04, 1.00000000e-09 
22, 0.98, -9.99999900e-01, 0.000789813615, -7.89847615e-04, 1.00000000e-09 
22, 0.99, -9.99999900e-01, 0.000806014498, -8.06048498e-04, 1.00000000e-09 
22, 1.00, -9.99999900e-01, 0.000822379857, -8.22413857e-04, 1.00000000e-09 
