f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
0, 0.85, 7.32988413e-05, 0.094169511134, 5.22224513e-01, 6.17025254e-01 
0, 0.86, 4.32941151e-05, 0.096398298180, 5.30711017e-01, 6.28177958e-01 
0, 0.87, 4.80922407e-05, 0.098653152910, 5.38843397e-01, 6.38458583e-01 
0, 0.88, 6.33015388e-05, 0.100934075325, 5.46073284e-01, 6.47738267e-01 
0, 0.89, 2.97763906e-05, 0.103241065425, 5.50815542e-01, 6.55610350e-01 
0, 0.90, 2.80571073e-05, 0.105574123209, 5.53745542e-01, 6.60968612e-01 
0, 0.91, 2.83231266e-05, 0.107933248679, 5.53502103e-01, 6.63068813e-01 
0, 0.92, 2.24154305e-05, 0.110318441833, 5.47889665e-01, 6.60272053e-01 
0, 0.93, 1.68303108e-05, 0.112729702671, 5.34847602e-01, 6.50326142e-01 
0, 0.94, 1.78757266e-05, 0.115167031195, 5.10041117e-01, 6.27796232e-01 
0, 0.95, 1.77415685e-05, 0.117630427403, 4.63910854e-01, 5.84148935e-01 
0, 0.96, 1.30481540e-05, 0.120119891296, 3.79549070e-01, 5.03214557e-01 
0, 0.97, 1.73070272e-05, 0.122635422874, 2.23111856e-01, 3.48420403e-01 
0, 0.98, 8.13805106e-06, 0.125177022136, -5.37698368e-02, 7.70919720e-02 
0, 0.99, 4.61260693e-02, 0.127744689083, -1.27745907e-01, -1.33604748e-07 
0, 1.00, 4.99511436e-02, 0.130338423715, -1.30339523e-01, -9.16912764e-08 
