f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
105, 0.30, 1.04046358e-02, 0.000093215341, 4.14620189e-04 
105, 0.31, 1.44572372e-02, 0.000099530762, 4.39537521e-04 
105, 0.32, 8.96072941e-03, 0.000106053246, 4.65556460e-04 
105, 0.33, 1.17457406e-02, 0.000112782793, 4.91539448e-04 
105, 0.34, 1.09791776e-02, 0.000119719402, 5.17682451e-04 
105, 0.35, 1.10623416e-02, 0.000126863075, 5.44369154e-04 
105, 0.36, 1.03542430e-02, 0.000134213811, 5.71220545e-04 
105, 0.37, 8.33792419e-03, 0.000141771610, 5.98024164e-04 
105, 0.38, 9.46933194e-03, 0.000149536472, 6.25148650e-04 
105, 0.39, 9.19171586e-03, 0.000157508396, 6.51862077e-04 
105, 0.40, 9.01276140e-03, 0.000165687384, 6.78514634e-04 
105, 0.41, 9.01699437e-03, 0.000174073435, 7.05080883e-04 
105, 0.42, 8.94242424e-03, 0.000182666548, 7.31253900e-04 
105, 0.43, 8.61288513e-03, 0.000191466725, 7.57073780e-04 
105, 0.44, 7.45028646e-03, 0.000200473965, 7.82409571e-04 
105, 0.45, 9.01818655e-03, 0.000209688267, 8.07001416e-04 
105, 0.46, 6.84220330e-03, 0.000219109633, 8.31341202e-04 
105, 0.47, 7.80595804e-03, 0.000228738061, 8.54287539e-04 
105, 0.48, 7.68089201e-03, 0.000238573553, 8.76258840e-04 
105, 0.49, 7.46647008e-03, 0.000248616108, 8.97099345e-04 
105, 0.50, 7.70190327e-03, 0.000258865725, 9.16081122e-04 
105, 0.51, 5.80340049e-03, 0.000269322406, 9.35483429e-04 
105, 0.52, 5.57280900e-03, 0.000279986149, 9.51157240e-04 
105, 0.53, 4.65187158e-03, 0.000290856955, 9.65678572e-04 
105, 0.54, 5.05329318e-03, 0.000301934825, 9.77537035e-04 
105, 0.55, 5.57282398e-03, 0.000313219757, 9.86421835e-04 
105, 0.56, 6.48703716e-03, 0.000324711753, 9.93306796e-04 
105, 0.57, 5.01192145e-03, 0.000336410811, 9.98416811e-04 
105, 0.58, 4.37382403e-03, 0.000348316932, 9.98916347e-04 
105, 0.59, 4.60225338e-03, 0.000360430117, 9.96195245e-04 
105, 0.60, 5.83103453e-03, 0.000372750364, 9.89071126e-04 
105, 0.61, 4.08452217e-03, 0.000385277674, 9.78388216e-04 
105, 0.62, 3.50348902e-03, 0.000398012048, 9.60633781e-04 
105, 0.63, 3.22957304e-03, 0.000410953484, 9.40732733e-04 
105, 0.64, 5.57280900e-03, 0.000424101983, 9.10351537e-04 
105, 0.65, 3.44418537e-03, 0.000437457545, 8.80088880e-04 
105, 0.66, 3.99715396e-03, 0.000451020171, 8.39427951e-04 
105, 0.67, 3.83335824e-03, 0.000464789859, 7.90233832e-04 
105, 0.68, 3.47469685e-03, 0.000478766610, 7.36530275e-04 
105, 0.69, 3.99695950e-03, 0.000492950424, 6.71319576e-04 
105, 0.70, 2.83649517e-03, 0.000507341301, 5.98838700e-04 
105, 0.71, 2.83746308e-03, 0.000521939241, 5.16459137e-04 
105, 0.72, 3.38584785e-03, 0.000536744244, 4.23047509e-04 
105, 0.73, 3.58400884e-03, 0.000551756310, 3.21149165e-04 
105, 0.74, 2.83588576e-03, 0.000566975439, 2.08067658e-04 
105, 0.75, 3.44422939e-03, 0.000582401631, 8.65836311e-05 
105, 0.76, 3.44418537e-03, 0.000598034886, -4.35334237e-05 
105, 0.77, 2.79152671e-03, 0.000613875204, -1.80756169e-04 
105, 0.78, 4.62675363e-03, 0.000629922585, -3.18174400e-04 
105, 0.79, 5.04241094e-03, 0.000646177029, -4.52757943e-04 
105, 0.80, 6.81943286e-03, 0.000662638536, -5.72326957e-04 
