f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
75, 0.60, 2.36692068e-02, 0.001483835628, 6.79427013e-03 
75, 0.61, 1.92253530e-03, 0.001533707749, 7.24679918e-03 
75, 0.62, 2.27760967e-03, 0.001584404202, 7.40987590e-03 
75, 0.63, 1.71498414e-03, 0.001635924987, 7.56278879e-03 
75, 0.64, 2.08431992e-03, 0.001688270106, 7.70739133e-03 
75, 0.65, 1.58927473e-03, 0.001741439557, 7.84675705e-03 
75, 0.66, 1.22492606e-03, 0.001795433340, 7.97170055e-03 
75, 0.67, 1.31497366e-03, 0.001850251456, 8.08754203e-03 
75, 0.68, 1.36087214e-03, 0.001905893905, 8.18508290e-03 
75, 0.69, 2.12766957e-03, 0.001962360686, 8.26079488e-03 
75, 0.70, 1.35937005e-03, 0.002019651799, 8.33140343e-03 
75, 0.71, 1.51640684e-03, 0.002077767246, 8.37899697e-03 
75, 0.72, 1.21298630e-03, 0.002136707024, 8.39384636e-03 
75, 0.73, 1.07427691e-03, 0.002196471136, 8.37293670e-03 
75, 0.74, 1.20031357e-03, 0.002257059580, 8.32974036e-03 
75, 0.75, 8.53246530e-04, 0.002318472356, 8.24601391e-03 
75, 0.76, 8.10536814e-04, 0.002380709465, 8.11725912e-03 
75, 0.77, 8.24911883e-04, 0.002443770907, 7.93568060e-03 
75, 0.78, 1.00501466e-03, 0.002507656681, 7.69281604e-03 
75, 0.79, 8.49051044e-04, 0.002572366788, 7.38380187e-03 
75, 0.80, 8.08682316e-04, 0.002637901228, 7.00931767e-03 
75, 0.81, 4.56099653e-04, 0.002704260000, 6.54140610e-03 
75, 0.82, 5.41842062e-04, 0.002771443104, 5.96705277e-03 
75, 0.83, 5.97180812e-04, 0.002839450541, 5.26156100e-03 
