f, N, nu 
1.16, 11.00, 0.03 
D, pK, a-1, leakEC, SKR 
10, 0.30, 4.57619698e-04, 0.007401419084, 1.20258853e+00 
10, 0.35, 3.21434875e-04, 0.010074153620, 1.24593642e+00 
10, 0.40, 1.29173950e-04, 0.013158078084, 1.26818209e+00 
10, 0.45, 4.17565338e-04, 0.016653192477, 1.27188763e+00 
10, 0.50, 2.25304413e-04, 0.020559496798, 1.25915086e+00 
10, 0.55, 1.29173950e-04, 0.024876991048, 1.23150901e+00 
10, 0.60, 1.29173950e-04, 0.029605675226, 1.19031642e+00 
10, 0.65, 1.53206566e-04, 0.034745549333, 1.13658449e+00 
10, 0.70, 1.29173950e-04, 0.040296613368, 1.07120847e+00 
10, 0.75, 2.01271797e-04, 0.046258867333, 9.95022689e-01 
10, 0.80, 1.29173950e-04, 0.052632311225, 9.08520076e-01 
10, 0.85, 8.11087189e-05, 0.059416945046, 8.11720630e-01 
10, 0.90, 5.10679493e-05, 0.066612768796, 7.03383582e-01 
10, 0.95, 2.85373721e-05, 0.074219782474, 5.68604367e-01 
10, 1.00, 1.57500250e+00, 0.082237986081, -8.22380135e-02 
