f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC/pK, SKR 
0, 0.85, 1.18624129e-04, 0.110787703687, 5.22268969e-01 
0, 0.86, 8.81653096e-05, 0.112091087418, 5.31097021e-01 
0, 0.87, 1.18624129e-04, 0.113394471161, 5.39153680e-01 
0, 0.88, 1.07363281e-04, 0.114697854915, 5.46004206e-01 
0, 0.89, 7.18981266e-05, 0.116001238680, 5.51399424e-01 
0, 0.90, 7.05851346e-05, 0.117304622455, 5.54282462e-01 
0, 0.91, 5.60067164e-05, 0.118608006240, 5.53987304e-01 
0, 0.92, 4.32435309e-05, 0.119911390035, 5.48796768e-01 
0, 0.93, 4.38413868e-05, 0.121214773840, 5.35772991e-01 
0, 0.94, 2.60413748e-05, 0.122518157654, 5.10403593e-01 
0, 0.95, 2.95284650e-05, 0.123821541477, 4.64076699e-01 
0, 0.96, 1.73070272e-05, 0.125124925308, 3.79664857e-01 
0, 0.97, 1.73070272e-05, 0.126428309148, 2.23111856e-01 
0, 0.98, 1.86128810e-05, 0.127731692996, -5.16707582e-02 
0, 0.99, 8.12045761e-02, 0.129035076852, -1.27745447e-01 
0, 1.00, 8.37522166e-02, 0.130338460715, -1.30339070e-01 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC/pK, SKR 
0, 0.85, 1.18624129e-04, 0.110787703687, 5.22268969e-01 
0, 0.86, 9.99532458e-05, 0.112091087418, 5.31150126e-01 
0, 0.87, 1.18624129e-04, 0.113394471161, 5.39153680e-01 
0, 0.88, 1.07363281e-04, 0.114697854915, 5.46004206e-01 
0, 0.89, 7.18981266e-05, 0.116001238680, 5.51399424e-01 
0, 0.90, 7.05851346e-05, 0.117304622455, 5.54282462e-01 
0, 0.91, 5.60067164e-05, 0.118608006240, 5.53987304e-01 
0, 0.92, 4.32435309e-05, 0.119911390035, 5.48796768e-01 
0, 0.93, 4.38413868e-05, 0.121214773840, 5.35772991e-01 
0, 0.94, 2.60413748e-05, 0.122518157654, 5.10403593e-01 
0, 0.95, 2.95284650e-05, 0.123821541477, 4.64076699e-01 
0, 0.96, 1.73070272e-05, 0.125124925308, 3.79664857e-01 
0, 0.97, 1.73070272e-05, 0.126428309148, 2.23111856e-01 
0, 0.98, 1.86128810e-05, 0.127731692996, -5.16707582e-02 
0, 0.99, 8.12045761e-02, 0.129035076852, -1.27745447e-01 
0, 1.00, 8.37522166e-02, 0.130338460715, -1.30339070e-01 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
0, 0.85, 1.18624129e-04, 0.094169548134, 5.22268969e-01 
0, 0.86, 9.99532458e-05, 0.096398335180, 5.31150126e-01 
0, 0.87, 1.18624129e-04, 0.098653189910, 5.39153680e-01 
0, 0.88, 1.07363281e-04, 0.100934112325, 5.46004206e-01 
0, 0.89, 7.18981266e-05, 0.103241102425, 5.51399424e-01 
0, 0.90, 7.05851346e-05, 0.105574160209, 5.54282462e-01 
0, 0.91, 5.60067164e-05, 0.107933285679, 5.53987304e-01 
0, 0.92, 4.32435309e-05, 0.110318478833, 5.48796768e-01 
0, 0.93, 4.38413868e-05, 0.112729739671, 5.35772991e-01 
0, 0.94, 2.60413748e-05, 0.115167068195, 5.10403593e-01 
0, 0.95, 2.95284650e-05, 0.117630464403, 4.64076699e-01 
0, 0.96, 1.73070272e-05, 0.120119928296, 3.79664857e-01 
0, 0.97, 1.73070272e-05, 0.122635459874, 2.23111856e-01 
0, 0.98, 1.86128810e-05, 0.125177059136, -5.16707582e-02 
0, 0.99, 8.12045761e-02, 0.127744726083, -1.27745447e-01 
0, 1.00, 8.37522166e-02, 0.130338460715, -1.30339070e-01 

