f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC/pK, SKR 
4, 0.85, 1.18624129e-04, 0.044105405447, 1.94583430e-01 
4, 0.86, 1.62575057e-04, 0.044624291552, 1.96031895e-01 
4, 0.87, 1.46627487e-04, 0.045143177668, 1.96682486e-01 
4, 0.88, 1.04186160e-04, 0.045662063796, 1.96354152e-01 
4, 0.89, 6.90109085e-05, 0.046180949934, 1.94532227e-01 
4, 0.90, 7.32988413e-05, 0.046699836083, 1.90908494e-01 
4, 0.91, 1.00588512e-04, 0.047218722242, 1.84638283e-01 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC/pK, SKR 
4, 0.85, 1.18624129e-04, 0.044105405447, 1.94583430e-01 
4, 0.86, 1.62575057e-04, 0.044624291552, 1.96031895e-01 
4, 0.87, 1.46627487e-04, 0.045143177668, 1.96682486e-01 
4, 0.88, 1.04186160e-04, 0.045662063796, 1.96354152e-01 
4, 0.89, 6.90109085e-05, 0.046180949934, 1.94532227e-01 
4, 0.90, 7.32988413e-05, 0.046699836083, 1.90908494e-01 
4, 0.91, 1.00588512e-04, 0.047218722242, 1.84638283e-01 
4, 0.92, 6.73039038e-05, 0.047737608411, 1.74519445e-01 
4, 0.93, 4.53103854e-05, 0.048256494589, 1.58739586e-01 
4, 0.94, 1.42527457e-04, 0.048775380777, 1.32787103e-01 
4, 0.95, 4.52954835e-05, 0.049294266973, 9.73198224e-02 
4, 0.96, 3.60954422e-05, 0.049813153178, 4.11400015e-02 
4, 0.97, 4.49419839e-05, 0.050332039392, -3.20086632e-02 
4, 0.98, 9.26711788e-02, 0.050850925613, -4.98345488e-02 
4, 0.99, 7.66745098e-02, 0.051369811843, -5.08568433e-02 
4, 1.00, 8.41101510e-02, 0.051888698080, -5.18893335e-02 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
4, 0.85, 1.18624129e-04, 0.037489594630, 1.94583430e-01 
4, 0.86, 1.62575057e-04, 0.038376890735, 1.96031895e-01 
4, 0.87, 1.46627487e-04, 0.039274564571, 1.96682486e-01 
4, 0.88, 1.04186160e-04, 0.040182616140, 1.96354152e-01 
4, 0.89, 6.90109085e-05, 0.041101045441, 1.94532227e-01 
4, 0.90, 7.32988413e-05, 0.042029852475, 1.90908494e-01 
4, 0.91, 1.00588512e-04, 0.042969037240, 1.84638283e-01 
4, 0.92, 6.73039038e-05, 0.043918599738, 1.74519445e-01 
4, 0.93, 4.53103854e-05, 0.044878539968, 1.58739586e-01 
4, 0.94, 1.42527457e-04, 0.045848857930, 1.32787103e-01 
4, 0.95, 4.52954835e-05, 0.046829553624, 9.73198224e-02 
4, 0.96, 3.60954422e-05, 0.047820627051, 4.11400015e-02 
4, 0.97, 4.49419839e-05, 0.048822078210, -3.20086632e-02 
4, 0.98, 9.26711788e-02, 0.049833907101, -4.98345488e-02 
4, 0.99, 7.66745098e-02, 0.050856113724, -5.08568433e-02 
4, 1.00, 8.41101510e-02, 0.051888698080, -5.18893335e-02 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
