f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
8, 0.85, 1.26942830e-04, 0.014924861713, 6.58488154e-02, 8.11381935e-02 
8, 0.86, 1.91937873e-04, 0.015278100655, 6.49387737e-02, 8.04579837e-02 
8, 0.87, 1.00580299e-04, 0.015635471046, 6.31229507e-02, 7.92184581e-02 
8, 0.88, 1.14011688e-04, 0.015996972887, 6.07474034e-02, 7.71502267e-02 
8, 0.89, 8.22017106e-05, 0.016362606177, 5.71947137e-02, 7.41201926e-02 
8, 0.90, 8.32173841e-05, 0.016732370917, 5.24538268e-02, 6.97422016e-02 
8, 0.91, 1.24968843e-04, 0.017106267107, 4.60542552e-02, 6.35307952e-02 
8, 0.92, 6.96259089e-05, 0.017484294746, 3.69936538e-02, 5.51424724e-02 
8, 0.93, 7.13907129e-05, 0.017866453835, 2.52596906e-02, 4.37742430e-02 
8, 0.94, 5.45150559e-05, 0.018252744374, 9.66169956e-03, 2.87631426e-02 
8, 0.95, 1.09943954e-04, 0.018643166362, -8.11190668e-03, 1.09521228e-02 
8, 0.96, 3.81966011e-02, 0.019037719799, -1.90392084e-02, -1.96196298e-07 
8, 0.97, 4.23591846e-02, 0.019436404687, -1.94377310e-02, -1.52900325e-07 
8, 0.98, 8.38210136e-02, 0.019839221024, -1.98398956e-02, -4.13536226e-08 
8, 0.99, 8.16415686e-02, 0.020246168810, -2.02468843e-02, -6.76180267e-08 
8, 1.00, 4.99511436e-02, 0.020657248046, -2.06583472e-02, -9.16912764e-08 
