f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
0, 0.85, 3.27989368e-05, 0.094169511134, 5.22222798e-01, 6.17097610e-01 
0, 0.86, 4.19473479e-05, 0.096398298180, 5.31270504e-01, 6.28220295e-01 
0, 0.87, 4.32573689e-05, 0.098653152910, 5.39394439e-01, 6.38582384e-01 
0, 0.88, 2.00525812e-05, 0.100934075325, 5.45833330e-01, 6.47920991e-01 
0, 0.89, 3.13203335e-05, 0.103241065425, 5.51693495e-01, 6.55673155e-01 
0, 0.90, 2.72725791e-05, 0.105574123209, 5.54546966e-01, 6.60969296e-01 
0, 0.91, 5.86066068e-06, 0.107933248679, 5.51602372e-01, 6.63482539e-01 
0, 0.92, 1.49724253e-05, 0.110318441833, 5.48555968e-01, 6.60419389e-01 
0, 0.93, 1.49724253e-05, 0.112729702671, 5.36644016e-01, 6.50918697e-01 
0, 0.94, 3.26730981e-06, 0.115167031195, 5.05954225e-01, 6.28200903e-01 
0, 0.95, 3.63860483e-06, 0.117630427403, 4.60742717e-01, 5.84730367e-01 
0, 0.96, 8.74116428e-06, 0.120119891296, 3.80829368e-01, 5.03595557e-01 
0, 0.97, 8.87660876e-06, 0.122635422874, 2.24999299e-01, 3.50240642e-01 
0, 0.98, 9.15382638e-06, 0.125177022136, -4.99579939e-02, 7.77460309e-02 
0, 0.99, 8.57476125e-03, 0.127744689083, -1.27748349e-01, -9.04125000e-07 
