f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
130, 0.30, 2.54467447e-02, 0.000029502579, 7.34786074e-05 
130, 0.31, 2.34654937e-02, 0.000031499690, 7.64990012e-05 
130, 0.32, 2.70462608e-02, 0.000033562281, 7.92938497e-05 
130, 0.33, 2.01710656e-02, 0.000035690350, 8.21056912e-05 
130, 0.34, 2.42064350e-02, 0.000037883899, 8.43803165e-05 
130, 0.35, 1.99440999e-02, 0.000040142926, 8.67409157e-05 
130, 0.36, 2.33420399e-02, 0.000042467433, 8.86363534e-05 
130, 0.37, 2.02091704e-02, 0.000044857419, 9.02825345e-05 
130, 0.38, 2.07949974e-02, 0.000047312884, 9.14981015e-05 
130, 0.39, 2.11751122e-02, 0.000049833828, 9.24033657e-05 
130, 0.40, 1.83322276e-02, 0.000052420251, 9.29954892e-05 
130, 0.41, 2.26082643e-02, 0.000055072153, 9.27291415e-05 
130, 0.42, 1.97935606e-02, 0.000057789534, 9.23208412e-05 
130, 0.43, 1.66884922e-02, 0.000060572394, 9.14478296e-05 
130, 0.44, 1.45444930e-02, 0.000063420734, 8.95286744e-05 
130, 0.45, 1.41786990e-02, 0.000066334552, 8.72396143e-05 
130, 0.46, 1.34837968e-02, 0.000069313849, 8.42464160e-05 
130, 0.47, 1.74614211e-02, 0.000072358626, 8.05842037e-05 
130, 0.48, 1.46720563e-02, 0.000075468881, 7.61693598e-05 
130, 0.49, 1.69097971e-02, 0.000078644616, 7.08151325e-05 
130, 0.50, 1.55527914e-02, 0.000081885830, 6.49569815e-05 
130, 0.51, 1.38018602e-02, 0.000085192522, 5.76889008e-05 
130, 0.52, 1.31894136e-02, 0.000088564694, 4.97856631e-05 
130, 0.53, 1.38959285e-02, 0.000092002345, 4.09369627e-05 
130, 0.54, 1.35600967e-02, 0.000095505475, 3.08716444e-05 
130, 0.55, 1.46583679e-02, 0.000099074084, 2.00620255e-05 
130, 0.56, 1.42035670e-02, 0.000102708172, 7.95621446e-06 
130, 0.57, 1.24504629e-02, 0.000106407739, -4.76701073e-06 
130, 0.58, 1.71177043e-02, 0.000110172785, -1.85854613e-05 
130, 0.59, 1.76639530e-02, 0.000114003310, -3.30920699e-05 
130, 0.60, 2.01098873e-02, 0.000117899314, -4.86763173e-05 
130, 0.61, 1.22808640e-02, 0.000121860798, -6.41028657e-05 
130, 0.62, 1.97508710e-02, 0.000125887760, -8.01802793e-05 
130, 0.63, 2.18767668e-02, 0.000129980202, -9.62590075e-05 
130, 0.64, 2.75119586e-02, 0.000134138122, -1.11539710e-04 
130, 0.65, 2.67189133e-02, 0.000138361522, -1.25590304e-04 
130, 0.66, 4.64762240e-02, 0.000142650401, -1.37735291e-04 
130, 0.67, 8.27487232e-02, 0.000147004758, -1.46564722e-04 
130, 0.68, 8.54111751e-02, 0.000151424595, -1.52093635e-04 
130, 0.69, 7.07830483e-02, 0.000155909911, -1.56716722e-04 
130, 0.70, 6.27594555e-02, 0.000160460706, -1.61303942e-04 
130, 0.71, 8.67721912e-02, 0.000165076980, -1.65721889e-04 
130, 0.72, 8.46186578e-02, 0.000169758733, -1.70500251e-04 
130, 0.73, 7.49545135e-02, 0.000174505965, -1.75341807e-04 
130, 0.74, 7.62764099e-02, 0.000179318676, -1.80084332e-04 
130, 0.75, 6.18033809e-02, 0.000184196866, -1.85057267e-04 
130, 0.76, 8.54572180e-02, 0.000189140536, -1.89875812e-04 
130, 0.77, 7.87091098e-02, 0.000194149684, -1.94909084e-04 
130, 0.78, 6.94263134e-02, 0.000199224311, -2.00090402e-04 
130, 0.79, 8.40766584e-02, 0.000204364418, -2.05037612e-04 
130, 0.80, 7.47059829e-02, 0.000209570004, -2.10322917e-04 
