f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
0, 0.85, 1.01532103e-07, 0.094169511134, -8.47089599e-02, 4.65103938e-01 
0, 0.86, 1.00610047e-07, 0.096398298180, -1.00616059e-01, 4.55601436e-01 
0, 0.87, 1.00304560e-07, 0.098653152910, -4.04006564e-02, 5.19472118e-01 
0, 0.88, 1.01223816e-07, 0.100934075325, -2.32554379e-02, 5.34709730e-01 
0, 0.89, 1.01223816e-07, 0.103241065425, -1.73315359e-02, 5.42940622e-01 
0, 0.90, 1.01841329e-07, 0.105574123209, 2.67854559e-02, 5.86619473e-01 
0, 0.91, 1.00610047e-07, 0.107933248679, -4.51549817e-02, 5.22597464e-01 
0, 0.92, 1.00916465e-07, 0.110318441833, -3.18669395e-02, 5.36874528e-01 
0, 0.93, 1.00304560e-07, 0.112729702671, -6.03844842e-02, 5.13564839e-01 
0, 0.94, 1.00610047e-07, 0.115167031195, -1.44537409e-01, 4.30448819e-01 
0, 0.95, 1.00000000e-07, 0.117630427403, -9.41227248e-02, 4.86132013e-01 
0, 0.96, 1.00000000e-07, 0.120119891296, -1.81055404e-01, 4.01688798e-01 
0, 0.97, 1.00304560e-07, 0.122635422874, -3.46634844e-01, 2.37220200e-01 
0, 0.98, -9.99999900e-01, 0.125177022136, -1.25177056e-01, 1.00000000e-09 
0, 0.99, -9.99999900e-01, 0.127744689083, -1.27744723e-01, 1.00000000e-09 
0, 1.00, -9.99999900e-01, 0.130338423715, -1.30338458e-01, 1.00000000e-09 
