f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
1, 0.80, 1.55318609e-04, 0.079662263126, 4.49989515e-01 
1, 0.81, 1.29613011e-04, 0.081666266002, 4.60009023e-01 
1, 0.82, 1.51016860e-04, 0.083695163324, 4.69850881e-01 
1, 0.83, 1.91952777e-04, 0.085748955091, 4.79427776e-01 
1, 0.84, 1.18624129e-04, 0.087827641304, 4.88820246e-01 
1, 0.85, 1.19752455e-04, 0.089931221963, 4.97695585e-01 
1, 0.86, 7.57049702e-05, 0.092059697067, 5.05932555e-01 
1, 0.87, 1.10291326e-04, 0.094213066617, 5.13487780e-01 
1, 0.88, 1.09018679e-04, 0.096391330612, 5.19701243e-01 
1, 0.89, 6.26174125e-05, 0.098594489054, 5.24497019e-01 
1, 0.90, 7.45246500e-05, 0.100822541941, 5.26898532e-01 
1, 0.91, 7.33137436e-05, 0.103075489273, 5.25938059e-01 
1, 0.92, 4.54902858e-05, 0.105353331052, 5.20222869e-01 
1, 0.93, 3.91442230e-05, 0.107656067276, 5.06894443e-01 
1, 0.94, 2.39028218e-05, 0.109983697945, 4.81034249e-01 
1, 0.95, 2.82456066e-05, 0.112336223060, 4.35220492e-01 
1, 0.96, 2.23686704e-05, 0.114713642621, 3.51938384e-01 
1, 0.97, 1.72755067e-05, 0.117115956628, 1.98377189e-01 
1, 0.98, 2.66343774e-05, 0.119543165080, -6.25382155e-02 
1, 0.99, 9.22638917e-02, 0.121995267978, -1.21995920e-01 
1, 1.00, 8.42970696e-02, 0.124472265322, -1.24472932e-01 
