f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
10, 0.85, -9.99999900e-01, 0.009416951113, -9.41698511e-03, 1.00000000e-09 
10, 0.86, -9.99999900e-01, 0.009639829818, -9.63986382e-03, 1.00000000e-09 
10, 0.87, -9.99999900e-01, 0.009865315291, -9.86534929e-03, 1.00000000e-09 
10, 0.88, -9.99999900e-01, 0.010093407533, -1.00934415e-02, 1.00000000e-09 
10, 0.89, -9.99999900e-01, 0.010324106542, -1.03241405e-02, 1.00000000e-09 
10, 0.90, -9.99999900e-01, 0.010557412321, -1.05574463e-02, 1.00000000e-09 
10, 0.91, -9.99999900e-01, 0.010793324868, -1.07933589e-02, 1.00000000e-09 
10, 0.92, -9.99999900e-01, 0.011031844183, -1.10318782e-02, 1.00000000e-09 
10, 0.93, -9.99999900e-01, 0.011272970267, -1.12730043e-02, 1.00000000e-09 
10, 0.94, -9.99999900e-01, 0.011516703119, -1.15167371e-02, 1.00000000e-09 
10, 0.95, -9.99999900e-01, 0.011763042740, -1.17630767e-02, 1.00000000e-09 
10, 0.96, -9.99999900e-01, 0.012011989130, -1.20120231e-02, 1.00000000e-09 
10, 0.97, -9.99999900e-01, 0.012263542287, -1.22635763e-02, 1.00000000e-09 
10, 0.98, -9.99999900e-01, 0.012517702214, -1.25177362e-02, 1.00000000e-09 
10, 0.99, -9.99999900e-01, 0.012774468908, -1.27745029e-02, 1.00000000e-09 
10, 1.00, -9.99999900e-01, 0.013033842372, -1.30338764e-02, 1.00000000e-09 
