f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
5, 0.80, 1.70371072e-04, 0.066260190617, 3.72278819e-01 
5, 0.81, 2.03234551e-04, 0.067927047606, 3.80325055e-01 
5, 0.82, 1.93736199e-04, 0.069614610894, 3.88178855e-01 
5, 0.83, 2.03513093e-04, 0.071322880479, 3.95800785e-01 
5, 0.84, 1.56389373e-04, 0.073051856363, 4.03183936e-01 
5, 0.85, 1.38445304e-04, 0.074801538544, 4.10068539e-01 
5, 0.86, 1.11517138e-04, 0.076571927024, 4.16387731e-01 
5, 0.87, 1.28413541e-04, 0.078363021801, 4.21776549e-01 
5, 0.88, 1.18926102e-04, 0.080174822877, 4.26039129e-01 
5, 0.89, 8.83847287e-05, 0.082007330250, 4.28828766e-01 
5, 0.90, 8.09587756e-05, 0.083860543921, 4.29322370e-01 
5, 0.91, 7.32861289e-05, 0.085734463891, 4.26762666e-01 
5, 0.92, 6.44272412e-05, 0.087629090158, 4.19279409e-01 
5, 0.93, 4.64203648e-05, 0.089544422724, 4.04731839e-01 
5, 0.94, 2.80033582e-05, 0.091480461587, 3.78621415e-01 
5, 0.95, 2.72285667e-05, 0.093437206749, 3.33309666e-01 
5, 0.96, 2.44125761e-05, 0.095414658208, 2.54546894e-01 
5, 0.97, 2.80182598e-05, 0.097412815966, 1.15258997e-01 
5, 0.98, 4.27853241e-05, 0.099431680021, -8.59583431e-02 
5, 0.99, 7.06540794e-02, 0.101471250375, -1.01472051e-01 
5, 1.00, 8.42970696e-02, 0.103531527027, -1.03532194e-01 
