f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
145, 0.30, 6.18043634e-02, 0.000014804772, 9.66076638e-06 
145, 0.31, 6.03824926e-02, 0.000015805699, 9.15949060e-06 
145, 0.32, 4.82946540e-02, 0.000016839443, 8.54245674e-06 
145, 0.33, 4.60668218e-02, 0.000017906004, 7.79014099e-06 
145, 0.34, 4.65395692e-02, 0.000019005382, 6.72342432e-06 
145, 0.35, 6.18033114e-02, 0.000020137578, 5.31942200e-06 
145, 0.36, 4.99203849e-02, 0.000021302591, 4.04884221e-06 
145, 0.37, 3.81512907e-02, 0.000022500422, 2.37673939e-06 
145, 0.38, 4.72133510e-02, 0.000023731069, 5.92192774e-07 
145, 0.39, 3.87212925e-02, 0.000024994534, -1.41555775e-06 
145, 0.40, 3.26691025e-02, 0.000026290817, -3.82874507e-06 
145, 0.41, 3.13082304e-02, 0.000027619916, -6.31958582e-06 
145, 0.42, 3.34368540e-02, 0.000028981833, -9.06834502e-06 
145, 0.43, 3.81956366e-02, 0.000030376567, -1.19180057e-05 
145, 0.44, 4.09426350e-02, 0.000031804118, -1.49857039e-05 
145, 0.45, 3.82775973e-02, 0.000033264487, -1.83981451e-05 
145, 0.46, 6.18882490e-02, 0.000034757672, -2.18624168e-05 
145, 0.47, 6.09134152e-02, 0.000036283676, -2.54057614e-05 
145, 0.48, 5.43411642e-02, 0.000037842496, -2.90791303e-05 
145, 0.49, 6.18034147e-02, 0.000039434134, -3.27707153e-05 
145, 0.50, 7.08203773e-02, 0.000041058588, -3.63869272e-05 
145, 0.51, 7.63888088e-02, 0.000042715861, -3.98727862e-05 
145, 0.52, 9.14962597e-02, 0.000044405950, -4.31115792e-05 
145, 0.53, 9.35343505e-02, 0.000046128857, -4.59925852e-05 
145, 0.54, 9.01419027e-02, 0.000047884581, -4.84466659e-05 
145, 0.55, 9.40078492e-02, 0.000049673122, -5.02129901e-05 
145, 0.56, 9.34906987e-02, 0.000051494481, -5.21241992e-05 
145, 0.57, 8.54101966e-02, 0.000053348656, -5.39766422e-05 
145, 0.58, 7.63932023e-02, 0.000055235649, -5.59425038e-05 
145, 0.59, 6.18018383e-02, 0.000057155460, -5.80322555e-05 
145, 0.60, 7.56194271e-02, 0.000059108087, -5.98461351e-05 
145, 0.61, 9.17939550e-02, 0.000061093532, -6.17320756e-05 
145, 0.62, 9.17267560e-02, 0.000063111794, -6.37608066e-05 
145, 0.63, 7.12096926e-02, 0.000065162874, -6.59610353e-05 
145, 0.64, 7.12365057e-02, 0.000067246770, -6.80636806e-05 
145, 0.65, 9.09870386e-02, 0.000069363484, -6.99975506e-05 
145, 0.66, 9.09830056e-02, 0.000071513016, -7.21795411e-05 
145, 0.67, 6.96550771e-02, 0.000073695364, -7.45137304e-05 
145, 0.68, 8.30999343e-02, 0.000075910530, -7.66369616e-05 
145, 0.69, 9.10656672e-02, 0.000078158513, -7.87983278e-05 
145, 0.70, 7.35348641e-02, 0.000080439313, -8.11613706e-05 
145, 0.71, 7.42365753e-02, 0.000082752931, -8.35443538e-05 
145, 0.72, 8.62350488e-02, 0.000085099366, -8.57513147e-05 
145, 0.73, 7.60454801e-02, 0.000087478618, -8.82918516e-05 
145, 0.74, 7.59928882e-02, 0.000089890687, -9.06876744e-05 
145, 0.75, 9.38398552e-02, 0.000092335574, -9.29697994e-05 
145, 0.76, 6.97676830e-02, 0.000094813278, -9.56461972e-05 
145, 0.77, 7.32013619e-02, 0.000097323799, -9.81400466e-05 
145, 0.78, 8.50396179e-02, 0.000099867138, -1.00581227e-04 
145, 0.79, 8.68727420e-02, 0.000102443293, -1.03223148e-04 
145, 0.80, 7.97498435e-02, 0.000105052266, -1.05818063e-04 
