f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
140, 0.30, 4.17608199e-02, 0.000018628523, 2.42294094e-05 
140, 0.31, 3.79489569e-02, 0.000019888615, 2.45352217e-05 
140, 0.32, 4.10687430e-02, 0.000021190022, 2.45075578e-05 
140, 0.33, 3.83152253e-02, 0.000022532743, 2.43518067e-05 
140, 0.34, 3.81966011e-02, 0.000023916779, 2.39751820e-05 
140, 0.35, 3.61326391e-02, 0.000025342129, 2.34201057e-05 
140, 0.36, 3.81966011e-02, 0.000026808793, 2.25444150e-05 
140, 0.37, 3.90104685e-02, 0.000028316773, 2.13426754e-05 
140, 0.38, 2.75076370e-02, 0.000029866066, 1.99490531e-05 
140, 0.39, 3.04662513e-02, 0.000031456674, 1.82536014e-05 
140, 0.40, 2.68968785e-02, 0.000033088597, 1.62255317e-05 
140, 0.41, 3.81966011e-02, 0.000034761834, 1.36678553e-05 
140, 0.42, 3.19233736e-02, 0.000036476386, 1.11500142e-05 
140, 0.43, 2.50226899e-02, 0.000038232252, 8.05374260e-06 
140, 0.44, 2.65640201e-02, 0.000040029432, 4.70509731e-06 
140, 0.45, 3.41905188e-02, 0.000041867927, 8.64214309e-07 
140, 0.46, 3.25117732e-02, 0.000043747737, -3.36810789e-06 
140, 0.47, 2.44188951e-02, 0.000045668861, -7.78739434e-06 
140, 0.48, 3.98782372e-02, 0.000047631299, -1.27735718e-05 
140, 0.49, 3.39588845e-02, 0.000049635053, -1.78748803e-05 
140, 0.50, 3.78624768e-02, 0.000051680120, -2.34189251e-05 
140, 0.51, 3.81966011e-02, 0.000053766502, -2.92696727e-05 
140, 0.52, 3.83620381e-02, 0.000055894199, -3.52268299e-05 
140, 0.53, 5.24173251e-02, 0.000058063210, -4.15052045e-05 
140, 0.54, 5.24900202e-02, 0.000060273535, -4.75394573e-05 
140, 0.55, 5.68433987e-02, 0.000062525175, -5.35198803e-05 
140, 0.56, 5.27864045e-02, 0.000064818130, -5.92439136e-05 
140, 0.57, 8.52706958e-02, 0.000067152399, -6.44589738e-05 
140, 0.58, 9.17824250e-02, 0.000069527982, -6.88760840e-05 
140, 0.59, 8.73141107e-02, 0.000071944880, -7.24577801e-05 
140, 0.60, 7.92187957e-02, 0.000074403093, -7.50917021e-05 
140, 0.61, 8.09853336e-02, 0.000076902620, -7.75805127e-05 
140, 0.62, 7.42303330e-02, 0.000079443461, -8.01608690e-05 
140, 0.63, 7.53882025e-02, 0.000082025617, -8.27564077e-05 
140, 0.64, 7.60826402e-02, 0.000084649088, -8.53616759e-05 
140, 0.65, 6.28431837e-02, 0.000087313873, -8.82397854e-05 
140, 0.66, 7.99721411e-02, 0.000090019972, -9.07663107e-05 
140, 0.67, 7.05221858e-02, 0.000092767386, -9.36078502e-05 
140, 0.68, 8.31580369e-02, 0.000095556115, -9.63077062e-05 
140, 0.69, 6.71512913e-02, 0.000098386158, -9.92369385e-05 
140, 0.70, 8.15291742e-02, 0.000101257515, -1.01980510e-04 
140, 0.71, 9.27225760e-02, 0.000104170187, -1.04854578e-04 
140, 0.72, 8.53982403e-02, 0.000107124174, -1.07775134e-04 
140, 0.73, 8.22326027e-02, 0.000110119475, -1.10846117e-04 
140, 0.74, 7.42652324e-02, 0.000113156090, -1.13901825e-04 
140, 0.75, 9.09829572e-02, 0.000116234020, -1.16876111e-04 
140, 0.76, 7.01114583e-02, 0.000119353265, -1.20194261e-04 
140, 0.77, 7.77087640e-02, 0.000122513824, -1.23276386e-04 
140, 0.78, 6.18028028e-02, 0.000125715697, -1.26670893e-04 
140, 0.79, 9.00082033e-02, 0.000128958885, -1.29581879e-04 
140, 0.80, 7.63932023e-02, 0.000132243387, -1.33002066e-04 
