f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
16, 0.85, -9.99999900e-01, 0.002365431173, -2.36546517e-03, 1.00000000e-09 
16, 0.86, -9.99999900e-01, 0.002421415772, -2.42144977e-03, 1.00000000e-09 
16, 0.87, -9.99999900e-01, 0.002478055162, -2.47808916e-03, 1.00000000e-09 
16, 0.88, -9.99999900e-01, 0.002535349343, -2.53538334e-03, 1.00000000e-09 
16, 0.89, -9.99999900e-01, 0.002593298314, -2.59333231e-03, 1.00000000e-09 
16, 0.90, -9.99999900e-01, 0.002651902076, -2.65193608e-03, 1.00000000e-09 
16, 0.91, -9.99999900e-01, 0.002711160629, -2.71119463e-03, 1.00000000e-09 
16, 0.92, -9.99999900e-01, 0.002771073972, -2.77110797e-03, 1.00000000e-09 
16, 0.93, -9.99999900e-01, 0.002831642106, -2.83167611e-03, 1.00000000e-09 
16, 0.94, -9.99999900e-01, 0.002892865030, -2.89289903e-03, 1.00000000e-09 
16, 0.95, -9.99999900e-01, 0.002954742745, -2.95477675e-03, 1.00000000e-09 
16, 0.96, -9.99999900e-01, 0.003017275251, -3.01730925e-03, 1.00000000e-09 
16, 0.97, -9.99999900e-01, 0.003080462547, -3.08049655e-03, 1.00000000e-09 
16, 0.98, -9.99999900e-01, 0.003144304634, -3.14433863e-03, 1.00000000e-09 
16, 0.99, -9.99999900e-01, 0.003208801512, -3.20883551e-03, 1.00000000e-09 
16, 1.00, -9.99999900e-01, 0.003273953180, -3.27398718e-03, 1.00000000e-09 
