f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
55, 0.60, 1.39035071e-03, 0.003727170641, 1.99499704e-02 
55, 0.61, 1.62612375e-03, 0.003852443744, 2.05364473e-02 
55, 0.62, 1.54714582e-03, 0.003979787477, 2.11267713e-02 
55, 0.63, 1.18476745e-03, 0.004109201839, 2.17258600e-02 
55, 0.64, 1.13307251e-03, 0.004240686831, 2.22971076e-02 
55, 0.65, 1.11071450e-03, 0.004374242454, 2.28727919e-02 
55, 0.66, 1.17820634e-03, 0.004509868706, 2.34494727e-02 
55, 0.67, 1.10263983e-03, 0.004647565587, 2.40071356e-02 
55, 0.68, 7.97390232e-04, 0.004787333099, 2.45547119e-02 
55, 0.69, 9.63969646e-04, 0.004929171240, 2.50881357e-02 
55, 0.70, 1.20917221e-03, 0.005073080011, 2.55943366e-02 
55, 0.71, 7.63686636e-04, 0.005219059412, 2.60911773e-02 
55, 0.72, 6.19403701e-04, 0.005367109443, 2.65523156e-02 
55, 0.73, 8.13061876e-04, 0.005517230104, 2.69851370e-02 
55, 0.74, 8.36926413e-04, 0.005669421394, 2.73710532e-02 
55, 0.75, 8.13061876e-04, 0.005823683314, 2.77170573e-02 
55, 0.76, 5.02499874e-04, 0.005980015864, 2.80261382e-02 
55, 0.77, 5.01357283e-04, 0.006138419044, 2.82169015e-02 
55, 0.78, 5.02499874e-04, 0.006298892853, 2.83683439e-02 
55, 0.79, 5.51982684e-04, 0.006461437293, 2.84018275e-02 
55, 0.80, 4.99868374e-04, 0.006626052362, 2.83420312e-02 
55, 0.81, 4.64552667e-04, 0.006792738061, 2.81287867e-02 
55, 0.82, 5.51328441e-04, 0.006961494389, 2.77396225e-02 
55, 0.83, 4.29526016e-04, 0.007132321348, 2.71686144e-02 
