f, N, nu 
1.16, 11.00, 0.03 
D, pK, a-1, leakEC, SKR 
1, 0.30, 5.10691724e-04, 0.011202500919, 1.28506770e+00 
1, 0.35, 3.21434875e-04, 0.015247848339, 1.34142240e+00 
1, 0.40, 1.29173950e-04, 0.019915556901, 1.37645018e+00 
1, 0.45, 2.25304413e-04, 0.025205626605, 1.39278357e+00 
1, 0.50, 1.29173950e-04, 0.031118057450, 1.39239684e+00 
1, 0.55, 1.29173950e-04, 0.037652849437, 1.37689733e+00 
1, 0.60, 2.25304413e-04, 0.044810002566, 1.34765733e+00 
1, 0.65, 1.69228310e-04, 0.052589516836, 1.30569732e+00 
1, 0.70, 1.35182104e-04, 0.060991392248, 1.25186584e+00 
1, 0.75, 1.29173950e-04, 0.070015628801, 1.18698369e+00 
1, 0.80, 9.31250267e-05, 0.079662226496, 1.11160837e+00 
1, 0.85, 1.29173950e-04, 0.089931185333, 1.02533702e+00 
1, 0.90, 5.70761032e-05, 0.100822505311, 9.27514195e-01 
1, 0.95, 2.35305772e-05, 0.112336186430, 8.02879005e-01 
1, 1.00, 1.57500250e+00, 0.124472228692, -1.24472256e-01 
