f, N, nu 
1.16, 5.00, 0.03 
D, pK, a-1, leakEC, SKR 
10, 0.30, 5.25001500e-01, 0.007771418714, 3.70369648e-02 
10, 0.35, 6.56251625e-01, 0.010444153250, 6.21492888e-02 
10, 0.40, 6.56251625e-01, 0.013528077714, 9.03695938e-02 
10, 0.45, 1.11562706e+00, 0.017023192107, 1.24753239e-01 
10, 0.50, 2.39531578e+00, 0.020929496428, 1.60426086e-01 
10, 0.55, 6.23439094e-01, 0.025246990678, 2.00918249e-01 
10, 0.60, 5.53359986e-01, 0.029975674856, 2.48854406e-01 
10, 0.65, 6.56251625e-01, 0.035115548963, 3.03644282e-01 
10, 0.70, 6.56251625e-01, 0.040666612998, 3.47647069e-01 
10, 0.75, 5.25001500e-01, 0.046628866963, 4.11374824e-01 
10, 0.80, 1.18125212e+00, 0.053002310855, 4.72742120e-01 
10, 0.85, 1.34531478e+00, 0.059786944676, 5.48130641e-01 
10, 0.90, 9.18751875e-01, 0.066982768426, 5.98637507e-01 
10, 0.95, 1.00898634e+00, 0.074589782104, 6.75390713e-01 
10, 1.00, 5.25001500e-01, 0.082607985711, 7.48920493e-01 
