f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
2, 0.85, 1.00304560e-07, 0.059416944676, -2.46699279e-01, 2.73937287e-01 
2, 0.86, 1.01223816e-07, 0.060823214232, -2.28491226e-01, 2.89363080e-01 
2, 0.87, 1.00916465e-07, 0.062245931385, -2.65372718e-01, 2.55296239e-01 
2, 0.88, 1.00304560e-07, 0.063685096135, -2.19681798e-01, 3.05222919e-01 
2, 0.89, 1.03401643e-07, 0.065140708482, -2.45106089e-01, 2.67439807e-01 
2, 0.90, 1.00610047e-07, 0.066612768426, -2.12946314e-01, 3.13485651e-01 
2, 0.91, 1.00000000e-07, 0.068101275967, -3.01779554e-01, 2.28946032e-01 
2, 0.92, 1.00304560e-07, 0.069606231106, -2.69958905e-01, 2.60866947e-01 
2, 0.93, 1.01223816e-07, 0.071127633842, -2.81451664e-01, 2.46707062e-01 
2, 0.94, 1.00916465e-07, 0.072665484174, -2.99885392e-01, 2.31203117e-01 
2, 0.95, 1.00000000e-07, 0.074219782104, -3.59922420e-01, 1.76921672e-01 
2, 0.96, 1.00000000e-07, 0.075790527631, -4.65244573e-01, 7.31702649e-02 
2, 0.97, -9.99999900e-01, 0.077377720756, -7.73777548e-02, 1.00000000e-09 
2, 0.98, -9.99999900e-01, 0.078981361477, -7.89813955e-02, 1.00000000e-09 
2, 0.99, -9.99999900e-01, 0.080601449795, -8.06014838e-02, 1.00000000e-09 
2, 1.00, -9.99999900e-01, 0.082237985711, -8.22380197e-02, 1.00000000e-09 
