f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
6, 0.85, -9.99999900e-01, 0.023654311728, -2.36543457e-02, 1.00000000e-09 
6, 0.86, 1.00304560e-07, 0.024214157722, -4.81871432e-01, 3.56234674e-03 
6, 0.87, -9.99999900e-01, 0.024780551622, -2.47805856e-02, 1.00000000e-09 
6, 0.88, 1.00304560e-07, 0.025353493429, -4.57257319e-01, 2.93157953e-02 
6, 0.89, 1.00304560e-07, 0.025932983142, -4.51796941e-01, 3.53556628e-02 
6, 0.90, 1.00610047e-07, 0.026519020761, -4.77843270e-01, 8.49494765e-03 
6, 0.91, -9.99999900e-01, 0.027111606286, -2.71116403e-02, 1.00000000e-09 
6, 0.92, -9.99999900e-01, 0.027710739718, -2.77107737e-02, 1.00000000e-09 
6, 0.93, -9.99999900e-01, 0.028316421057, -2.83164551e-02, 1.00000000e-09 
6, 0.94, -9.99999900e-01, 0.028928650302, -2.89286843e-02, 1.00000000e-09 
6, 0.95, -9.99999900e-01, 0.029547427453, -2.95474615e-02, 1.00000000e-09 
6, 0.96, -9.99999900e-01, 0.030172752510, -3.01727865e-02, 1.00000000e-09 
6, 0.97, -9.99999900e-01, 0.030804625474, -3.08046595e-02, 1.00000000e-09 
6, 0.98, -9.99999900e-01, 0.031443046344, -3.14430803e-02, 1.00000000e-09 
6, 0.99, -9.99999900e-01, 0.032088015121, -3.20880491e-02, 1.00000000e-09 
6, 1.00, -9.99999900e-01, 0.032739531803, -3.27395658e-02, 1.00000000e-09 
