f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR 
25, 0.80, 2.85500788e-04, 0.026378679277, 1.41295910e-01 
25, 0.81, 3.10576907e-04, 0.027042266997, 1.43652189e-01 
25, 0.82, 2.13592420e-04, 0.027714098042, 1.45792664e-01 
25, 0.83, 1.41318675e-04, 0.028394172413, 1.47682109e-01 
25, 0.84, 2.36540589e-04, 0.029082490110, 1.49190657e-01 
25, 0.85, 1.82754964e-04, 0.029779051133, 1.50296635e-01 
25, 0.86, 1.59431517e-04, 0.030483855481, 1.50860298e-01 
25, 0.87, 1.37184395e-04, 0.031196903155, 1.50630107e-01 
25, 0.88, 1.18644327e-04, 0.031918194155, 1.49416992e-01 
25, 0.89, 1.10441557e-04, 0.032647728481, 1.46918313e-01 
25, 0.90, 1.18624129e-04, 0.033385506132, 1.42630627e-01 
25, 0.91, 1.20184703e-04, 0.034131527109, 1.35819610e-01 
25, 0.92, 1.09180607e-04, 0.034885791411, 1.25544153e-01 
25, 0.93, 6.79444998e-05, 0.035648299040, 1.10366505e-01 
25, 0.94, 5.24123130e-05, 0.036419049994, 8.78224938e-02 
25, 0.95, 4.12247505e-05, 0.037198044273, 5.45120910e-02 
25, 0.96, 5.84990617e-05, 0.037985281879, 7.69155883e-03 
25, 0.97, 3.10562002e-04, 0.038780762810, -3.79374002e-02 
25, 0.98, 8.75388365e-02, 0.039584487067, -3.95852362e-02 
25, 0.99, 8.47860048e-02, 0.040396454649, -4.03972119e-02 
25, 1.00, 8.41101510e-02, 0.041216665558, -4.12173009e-02 
