f, N, nu 
1.16, 9.00, 0.03 
D, pK, a-1, leakEC, SKR, dual 
26, 0.85, -9.99999900e-01, 0.000236543117, -2.36577117e-04, 1.00000000e-09 
26, 0.86, -9.99999900e-01, 0.000242141577, -2.42175577e-04, 1.00000000e-09 
26, 0.87, -9.99999900e-01, 0.000247805516, -2.47839516e-04, 1.00000000e-09 
26, 0.88, -9.99999900e-01, 0.000253534934, -2.53568934e-04, 1.00000000e-09 
26, 0.89, -9.99999900e-01, 0.000259329831, -2.59363831e-04, 1.00000000e-09 
26, 0.90, -9.99999900e-01, 0.000265190208, -2.65224208e-04, 1.00000000e-09 
26, 0.91, -9.99999900e-01, 0.000271116063, -2.71150063e-04, 1.00000000e-09 
26, 0.92, -9.99999900e-01, 0.000277107397, -2.77141397e-04, 1.00000000e-09 
26, 0.93, -9.99999900e-01, 0.000283164211, -2.83198211e-04, 1.00000000e-09 
26, 0.94, -9.99999900e-01, 0.000289286503, -2.89320503e-04, 1.00000000e-09 
26, 0.95, -9.99999900e-01, 0.000295474275, -2.95508275e-04, 1.00000000e-09 
26, 0.96, -9.99999900e-01, 0.000301727525, -3.01761525e-04, 1.00000000e-09 
26, 0.97, -9.99999900e-01, 0.000308046255, -3.08080255e-04, 1.00000000e-09 
26, 0.98, -9.99999900e-01, 0.000314430463, -3.14464463e-04, 1.00000000e-09 
26, 0.99, -9.99999900e-01, 0.000320880151, -3.20914151e-04, 1.00000000e-09 
26, 1.00, -9.99999900e-01, 0.000327395318, -3.27429318e-04, 1.00000000e-09 
